year,month,transfer_efficiency_ratio,discharge_effectiveness_index,pipeline_throughput_rate,backlog_accumulation_rate,outcome_stability_score,transfer_efficiency_ratio_mom_change,discharge_effectiveness_index_mom_change,pipeline_throughput_rate_mom_change,backlog_accumulation_rate_mom_change,outcome_stability_score_mom_change,month_name
2023,1,0.9164002557544757,0.032084282144830535,0.03662723081633808,-201.125,0.015538847485114686,,,,,,January
2023,2,0.9861382070506959,0.035032186930180245,0.052111016934967176,-173.52631578947367,0.008353942924054517,0.0760998819656642,0.09188002935651407,0.42273974235918343,-0.13722154983481083,-0.46238336324125007,February
2023,3,0.9681830555225883,0.035612961041669465,0.057209681466425494,-152.42105263157896,0.006716022602086237,-0.01820754068722996,0.016578300197093387,0.09784235333233426,-0.12162572035183483,-0.19606553897465806,March
2023,4,0.988809512965819,0.03443528882098636,0.05750842001663938,-120.9047619047619,0.005953897119749361,0.02130429501484854,-0.033068640917141234,0.005221818100651587,-0.20677124440936612,-0.11347869527719168,April
2023,5,0.9681977443175195,0.03468134817703931,0.05352357652649064,-159.54545454545453,0.006125102652336064,-0.020845034739276458,0.007145558073640812,-0.06929147921288348,0.3195961187296359,0.028755205060363886,May
2023,6,0.9544826929954949,0.03270330824965508,0.051761525986272594,-112.75,0.00796409697753751,-0.01416554769159506,-0.05703468957685398,-0.03292101639257883,-0.2933048433048433,0.30023893958741543,June
2023,7,0.9680834783627456,0.03079182725311559,0.05701940288881245,-73.76190476190476,0.0075233767618335815,0.014249378712742011,-0.058449163061650045,0.10157886195113863,-0.3457924189631507,-0.055338378845331215,July
2023,8,0.9928115746819757,0.0343992109533079,0.05281271856315382,-185.95,0.00809551913871575,0.02554335124182794,0.11715393407928731,-0.07377636580764702,1.520948999354422,0.0760486142053487,August
2023,9,0.9552230744266924,0.03216403317335731,0.05089939314613348,-176.42105263157896,0.006666792069068047,-0.03786065877336686,-0.06497758867156944,-0.03622849701880748,-0.051244675280564866,-0.1764836874778054,September
2023,10,0.9620419398688272,0.03430588053617624,0.043164310415579984,-280.54545454545456,0.006841552874812968,0.007138505784345162,0.06659138023129207,-0.15196807373215382,0.5902039487958342,0.026213627773957304,October
2023,11,0.990965269086358,0.0308989785160234,0.046904481638852344,-184.65,0.005825577436494085,0.03006452007848459,-0.09930956345983277,0.08664962297005352,-0.3418178872326637,-0.1485007069168719,November
2023,12,0.9904897569330083,0.032353187624585326,0.04667038978566542,-241.94736842105263,0.006679646139146932,-0.0004798474459029034,0.047063339255950076,-0.004990820599817036,0.310302563883307,0.14660670327761327,December
2024,1,0.9576970200827308,0.033486306660626984,0.04790900619492913,-199.95454545454547,0.00757627679274435,-0.03310759815610631,0.03502341250543717,0.026539662834445643,-0.17356180908497632,0.13423325651079,January
2024,2,0.9898526985483507,0.031744989247100314,0.06795791039615204,-37.8,0.007626508593243179,0.03357604523280444,-0.05200087997683245,0.4184788162720219,-0.8109570356899296,0.006630143258088861,February
2024,3,1.0,0.0323960292321778,0.060636886638235535,-109.57142857142857,0.007232412683503204,0.01025132473400392,0.020508433000554716,-0.10772879441465344,1.8987150415721845,-0.05167448576523337,March
2024,4,0.991722329144496,0.029092438067596996,0.061282957302296874,-47.72727272727273,0.00820968144028455,-0.008277670855504016,-0.1019751877893561,0.010654746638227852,-0.5644186322152424,0.13512347809057546,April
2024,5,0.983441424456855,0.027568440517611256,0.059270548388825714,-40.142857142857146,0.00669013656245999,-0.008350023433257192,-0.052384662517616976,-0.0328379863188446,-0.1589115646258502,-0.18509181980779654,May
2024,6,0.9846153846153847,0.03162067517488481,0.06161216980732752,-73.0952380952381,0.006337888701597756,0.001193726570118736,0.14698817129989306,0.039507335129419285,0.8208778173190985,-0.052651819222761964,June
2024,7,0.9913954943679599,0.02959421690379861,0.05649546721558615,-63.61904761904762,0.006225096453124505,0.006886048967459146,-0.06408649593591675,-0.08304694685712632,-0.12964169381107493,-0.01779650192418436,July
2024,8,0.9819316227208268,0.026986931526031085,0.05674552486747935,-21.94736842105263,0.005995175319879122,-0.009546010346926814,-0.08810117822150787,0.0044261542424099964,-0.6550189095493224,-0.03693454952492847,August
